Starting Balance:           1000.00
Annual Interest Rate:         0.035
Monthly Payment:             125.00
     Payment              Amount    Interest           Principal             Balance
           8             1100.00      910.70              189.30           198509.55
           9             1100.00      909.83              190.17           198319.38
          10             1100.00      908.96              191.04           198128.34
          11             1100.00      908.08              191.92           197936.42
          12             1100.00      907.20              192.80           197743.62
          13             1100.00      906.32              193.68           197549.94
          14             1100.00      905.43              194.57           197355.37
          15             1100.00      904.54              195.46           197159.91
          16             1100.00      903.64              196.36           196963.55
          17             1100.00      902.74              197.26           196766.29
          18             1100.00      901.84              198.16           196568.13
          19             1100.00      900.93              199.07           196369.06
          20             1100.00      900.02              199.98           196169.08
          21             1100.00      899.10              200.90           195968.18
          22             1100.00      898.18              201.82           195766.36
          23             1100.00      897.26              202.74           195563.62
          24             1100.00      896.33              203.67           195359.95
          25             1100.00      895.39              204.61           195155.34
          26             1100.00      894.46              205.54           194949.80
          27             1100.00      893.51              206.49           194743.31
          28             1100.00      892.57              207.43           194535.88
          29             1100.00      891.62              208.38           194327.50
          30             1100.00      890.66              209.34           194118.16
          31             1100.00      889.70              210.30           193907.86
          32             1100.00      888.74              211.26           193696.60
          33             1100.00      887.77              212.23           193484.37
          34             1100.00      886.80              213.20           193271.17
          35             1100.00      885.82              214.18           193056.99
          36             1100.00      884.84              215.16           192841.83
          37             1100.00      883.85              216.15           192625.68
          38             1100.00      882.86              217.14           192408.54
          39             1100.00      881.87              218.13           192190.41
          40             1100.00      880.87              219.13           191971.28
          41             1100.00      879.86              220.14           191751.14
          42             1100.00      878.85              221.15           191529.99
          43             1100.00      877.84              222.16           191307.83
          44             1100.00      876.82              223.18           191084.65
          45             1100.00      875.80              224.20           190860.45
          46             1100.00      874.77              225.23           190635.22
          47             1100.00      873.74              226.26           190408.96
          48             1100.00      872.70              227.30           190181.66
          49             1100.00      871.66              228.34           189953.32
          50             1100.00      870.61              229.39           189723.93
          51             1100.00      869.56              230.44           189493.49
          52             1100.00      868.51              231.49           189262.00
          53             1100.00      867.45              232.55           189029.45
          54             1100.00      866.38              233.62           188795.83
          55             1100.00      865.31              234.69           188561.14
          56             1100.00      864.23              235.77           188325.37
          57             1100.00      863.15              236.85           188088.52
          58             1100.00      862.07              237.93           187850.59
          59             1100.00      860.98              239.02           187611.57
          60             1100.00      859.88              240.12           187371.45
          61             1100.00      858.78              241.22           187130.23
          62             1100.00      857.68              242.32           186887.91
          63             1100.00      856.56              243.44           186644.47
          64             1100.00      855.45              244.55           186399.92
          65             1100.00      854.33              245.67           186154.25
          66             1100.00      853.20              246.80           185907.45
          67             1100.00      852.07              247.93           185659.52
          68             1100.00      850.93              249.07           185410.45
          69             1100.00      849.79              250.21           185160.24
          70             1100.00      848.65              251.35           184908.89
          71             1100.00      847.49              252.51           184656.38
          72             1100.00      846.34              253.66           184402.72
          73             1100.00      845.17              254.83           184147.89
          74             1100.00      844.01              255.99           183891.90
          75             1100.00      842.83              257.17           183634.73
          76             1100.00      841.65              258.35           183376.38
          77             1100.00      840.47              259.53           183116.85
          78             1100.00      839.28              260.72           182856.13
          79             1100.00      838.09              261.91           182594.22
          80             1100.00      836.89              263.11           182331.11
          81             1100.00      835.68              264.32           182066.79
          82             1100.00      834.47              265.53           181801.26
          83             1100.00      833.25              266.75           181534.51
          84             1100.00      832.03              267.97           181266.54
          85             1100.00      830.80              269.20           180997.34
          86             1100.00      829.57              270.43           180726.91
          87             1100.00      828.33              271.67           180455.24
          88             1100.00      827.08              272.92           180182.32
          89             1100.00      825.83              274.17           179908.15
          90             1100.00      824.57              275.43           179632.72
          91             1100.00      823.31              276.69           179356.03
          92             1100.00      822.04              277.96           179078.07
          93             1100.00      820.77              279.23           178798.84
          94             1100.00      819.49              280.51           178518.33
          95             1100.00      818.20              281.80           178236.53
          96             1100.00      816.91              283.09           177953.44
          97             1100.00      815.61              284.39           177669.05
          98             1100.00      814.31              285.69           177383.36
          99             1100.00      813.00              287.00           177096.36
         100             1100.00      811.69              288.31           176808.05
         101             1100.00      810.37              289.63           176518.42
         102             1100.00      809.04              290.96           176227.46
         103             1100.00      807.70              292.30           175935.16
         104             1100.00      806.36              293.64           175641.52
         105             1100.00      805.02              294.98           175346.54
         106             1100.00      803.67              296.33           175050.21
         107             1100.00      802.31              297.69           174752.52
         108             1100.00      800.94              299.06           174453.46
         109             1100.00      799.57              300.43           174153.03
         110             1100.00      798.20              301.80           173851.23
         111             1100.00      796.81              303.19           173548.04
         112             1100.00      795.42              304.58           173243.46
         113             1100.00      794.03              305.97           172937.49
         114             1100.00      792.63              307.37           172630.12
         115             1100.00      791.22              308.78           172321.34
         116             1100.00      789.80              310.20           172011.14
         117             1100.00      788.38              311.62           171699.52
         118             1100.00      786.95              313.05           171386.47
         119             1100.00      785.52              314.48           171071.99
         120             1100.00      784.07              315.93           170756.06
         121             1100.00      782.63              317.37           170438.69
         122             1100.00      781.17              318.83           170119.86
         123             1100.00      779.71              320.29           169799.57
         124             1100.00      778.24              321.76           169477.81
         125             1100.00      776.77              323.23           169154.58
         126             1100.00      775.29              324.71           168829.87
         127             1100.00      773.80              326.20           168503.67
         128             1100.00      772.30              327.70           168175.97
         129             1100.00      770.80              329.20           167846.77
         130             1100.00      769.29              330.71           167516.06
         131             1100.00      767.78              332.22           167183.84
         132             1100.00      766.25              333.75           166850.09
         133             1100.00      764.72              335.28           166514.81
         134             1100.00      763.19              336.81           166178.00
         135             1100.00      761.64              338.36           165839.64
         136             1100.00      760.09              339.91           165499.73
         137             1100.00      758.54              341.46           165158.27
         138             1100.00      756.97              343.03           164815.24
         139             1100.00      755.40              344.60           164470.64
         140             1100.00      753.82              346.18           164124.46
         141             1100.00      752.23              347.77           163776.69
         142             1100.00      750.64              349.36           163427.33
         143             1100.00      749.04              350.96           163076.37
         144             1100.00      747.43              352.57           162723.80
         145             1100.00      745.81              354.19           162369.61
         146             1100.00      744.19              355.81           162013.80
         147             1100.00      742.56              357.44           161656.36
         148             1100.00      740.92              359.08           161297.28
         149             1100.00      739.27              360.73           160936.55
         150             1100.00      737.62              362.38           160574.17
         151             1100.00      735.96              364.04           160210.13
         152             1100.00      734.29              365.71           159844.42
         153             1100.00      732.62              367.38           159477.04
         154             1100.00      730.93              369.07           159107.97
         155             1100.00      729.24              370.76           158737.21
         156             1100.00      727.54              372.46           158364.75
         157             1100.00      725.83              374.17           157990.58
         158             1100.00      724.12              375.88           157614.70
         159             1100.00      722.40              377.60           157237.10
         160             1100.00      720.67              379.33           156857.77
         161             1100.00      718.93              381.07           156476.70
         162             1100.00      717.18              382.82           156093.88
         163             1100.00      715.43              384.57           155709.31
         164             1100.00      713.66              386.34           155322.97
         165             1100.00      711.89              388.11           154934.86
         166             1100.00      710.11              389.89           154544.97
         167             1100.00      708.33              391.67           154153.30
         168             1100.00      706.53              393.47           153759.83
         169             1100.00      704.73              395.27           153364.56
         170             1100.00      702.92              397.08           152967.48
         171             1100.00      701.10              398.90           152568.58
         172             1100.00      699.27              400.73           152167.85
         173             1100.00      697.43              402.57           151765.28
         174             1100.00      695.59              404.41           151360.87
         175             1100.00      693.73              406.27           150954.60
         176             1100.00      691.87              408.13           150546.47
         177             1100.00      690.00              410.00           150136.47
         178             1100.00      688.12              411.88           149724.59
         179             1100.00      686.23              413.77           149310.82
         180             1100.00      684.34              415.66           148895.16
         181             1100.00      682.43              417.57           148477.59
         182             1100.00      680.52              419.48           148058.11
         183             1100.00      678.59              421.41           147636.70
         184             1100.00      676.66              423.34           147213.36
         185             1100.00      674.72              425.28           146788.08
         186             1100.00      672.77              427.23           146360.85
         187             1100.00      670.82              429.18           145931.67
         188             1100.00      668.85              431.15           145500.52
         189             1100.00      666.87              433.13           145067.39
         190             1100.00      664.89              435.11           144632.28
         191             1100.00      662.89              437.11           144195.17
         192             1100.00      660.89              439.11           143756.06
         193             1100.00      658.88              441.12           143314.94
         194             1100.00      656.86              443.14           142871.80
         195             1100.00      654.82              445.18           142426.62
         196             1100.00      652.78              447.22           141979.40
         197             1100.00      650.73              449.27           141530.13
         198             1100.00      648.67              451.33           141078.80
         199             1100.00      646.61              453.39           140625.41
         200             1100.00      644.53              455.47           140169.94
         201             1100.00      642.44              457.56           139712.38
         202             1100.00      640.34              459.66           139252.72
         203             1100.00      638.24              461.76           138790.96
         204             1100.00      636.12              463.88           138327.08
         205             1100.00      633.99              466.01           137861.07
         206             1100.00      631.86              468.14           137392.93
         207             1100.00      629.71              470.29           136922.64
         208             1100.00      627.56              472.44           136450.20
         209             1100.00      625.39              474.61           135975.59
         210             1100.00      623.22              476.78           135498.81
         211             1100.00      621.03              478.97           135019.84
         212             1100.00      618.84              481.16           134538.68
         213             1100.00      616.63              483.37           134055.31
         214             1100.00      614.42              485.58           133569.73
         215             1100.00      612.19              487.81           133081.92
         216             1100.00      609.95              490.05           132591.87
         217             1100.00      607.71              492.29           132099.58
         218             1100.00      605.45              494.55           131605.03
         219             1100.00      603.18              496.82           131108.21
         220             1100.00      600.91              499.09           130609.12
         221             1100.00      598.62              501.38           130107.74
         222             1100.00      596.32              503.68           129604.06
         223             1100.00      594.01              505.99           129098.07
         224             1100.00      591.69              508.31           128589.76
         225             1100.00      589.36              510.64           128079.12
         226             1100.00      587.02              512.98           127566.14
         227             1100.00      584.67              515.33           127050.81
         228             1100.00      582.31              517.69           126533.12
         229             1100.00      579.94              520.06           126013.06
         230             1100.00      577.55              522.45           125490.61
         231             1100.00      575.16              524.84           124965.77
         232             1100.00      572.75              527.25           124438.52
         233             1100.00      570.34              529.66           123908.86
         234             1100.00      567.91              532.09           123376.77
         235             1100.00      565.47              534.53           122842.24
         236             1100.00      563.02              536.98           122305.26
         237             1100.00      560.56              539.44           121765.82
         238             1100.00      558.09              541.91           121223.91
         239             1100.00      555.60              544.40           120679.51
         240             1100.00      553.11              546.89           120132.62
         241             1100.00      550.60              549.40           119583.22
         242             1100.00      548.08              551.92           119031.30
         243             1100.00      545.56              554.44           118476.86
         244             1100.00      543.01              556.99           117919.87
         245             1100.00      540.46              559.54           117360.33
         246             1100.00      537.90              562.10           116798.23
         247             1100.00      535.32              564.68           116233.55
         248             1100.00      532.73              567.27           115666.28
         249             1100.00      530.13              569.87           115096.41
         250             1100.00      527.52              572.48           114523.93
         251             1100.00      524.90              575.10           113948.83
         252             1100.00      522.26              577.74           113371.09
         253             1100.00      519.61              580.39           112790.70
         254             1100.00      516.95              583.05           112207.65
         255             1100.00      514.28              585.72           111621.93
         256             1100.00      511.60              588.40           111033.53
         257             1100.00      508.90              591.10           110442.43
         258             1100.00      506.19              593.81           109848.62
         259             1100.00      503.47              596.53           109252.09
         260             1100.00      500.73              599.27           108652.82
         261             1100.00      497.99              602.01           108050.81
         262             1100.00      495.23              604.77           107446.04
         263             1100.00      492.46              607.54           106838.50
         264             1100.00      489.67              610.33           106228.17
         265             1100.00      486.87              613.13           105615.04
         266             1100.00      484.06              615.94           104999.10
         267             1100.00      481.24              618.76           104380.34
         268             1100.00      478.40              621.60           103758.74
         269             1100.00      475.56              624.44           103134.30
         270             1100.00      472.69              627.31           102506.99
         271             1100.00      469.82              630.18           101876.81
         272             1100.00      466.93              633.07           101243.74
         273             1100.00      464.03              635.97           100607.77
         274             1100.00      461.11              638.89            99968.88
         275             1100.00      458.19              641.81            99327.07
         276             1100.00      455.24              644.76            98682.31
         277             1100.00      452.29              647.71            98034.60
         278             1100.00      449.32              650.68            97383.92
         279             1100.00      446.34              653.66            96730.26
         280             1100.00      443.34              656.66            96073.60
         281             1100.00      440.33              659.67            95413.93
         282             1100.00      437.31              662.69            94751.24
         283             1100.00      434.27              665.73            94085.51
         284             1100.00      431.22              668.78            93416.73
         285             1100.00      428.15              671.85            92744.88
         286             1100.00      425.08              674.92            92069.96
         287             1100.00      421.98              678.02            91391.94
         288             1100.00      418.87              681.13            90710.81
         289             1100.00      415.75              684.25            90026.56
         290             1100.00      412.62              687.38            89339.18
         291             1100.00      409.47              690.53            88648.65
         292             1100.00      406.30              693.70            87954.95
         293             1100.00      403.12              696.88            87258.07
         294             1100.00      399.93              700.07            86558.00
         295             1100.00      396.72              703.28            85854.72
         296             1100.00      393.50              706.50            85148.22
         297             1100.00      390.26              709.74            84438.48
         298             1100.00      387.00              713.00            83725.48
         299             1100.00      383.74              716.26            83009.22
         300             1100.00      380.45              719.55            82289.67
         301             1100.00      377.16              722.84            81566.83
         302             1100.00      373.84              726.16            80840.67
         303             1100.00      370.51              729.49            80111.18
         304             1100.00      367.17              732.83            79378.35
         305             1100.00      363.81              736.19            78642.16
         306             1100.00      360.44              739.56            77902.60
         307             1100.00      357.05              742.95            77159.65
         308             1100.00      353.64              746.36            76413.29
         309             1100.00      350.22              749.78            75663.51
         310             1100.00      346.79              753.21            74910.30
         311             1100.00      343.33              756.67            74153.63
         312             1100.00      339.87              760.13            73393.50
         313             1100.00      336.38              763.62            72629.88
         314             1100.00      332.88              767.12            71862.76
         315             1100.00      329.37              770.63            71092.13
         316             1100.00      325.83              774.17            70317.96
         317             1100.00      322.29              777.71            69540.25
         318             1100.00      318.72              781.28            68758.97
         319             1100.00      315.14              784.86            67974.11
         320             1100.00      311.54              788.46            67185.65
         321             1100.00      307.93              792.07            66393.58
         322             1100.00      304.30              795.70            65597.88
         323             1100.00      300.65              799.35            64798.53
         324             1100.00      296.99              803.01            63995.52
         325             1100.00      293.31              806.69            63188.83
         326             1100.00      289.61              810.39            62378.44
         327             1100.00      285.90              814.10            61564.34
         328             1100.00      282.16              817.84            60746.50
         329             1100.00      278.42              821.58            59924.92
         330             1100.00      274.65              825.35            59099.57
         331             1100.00      270.87              829.13            58270.44
         332             1100.00      267.07              832.93            57437.51
         333             1100.00      263.25              836.75            56600.76
         334             1100.00      259.42              840.58            55760.18
         335             1100.00      255.56              844.44            54915.74
         336             1100.00      251.69              848.31            54067.43
         337             1100.00      247.80              852.20            53215.23
         338             1100.00      243.90              856.10            52359.13
         339             1100.00      239.97              860.03            51499.10
         340             1100.00      236.03              863.97            50635.13
         341             1100.00      232.07              867.93            49767.20
         342             1100.00      228.09              871.91            48895.29
         343             1100.00      224.10              875.90            48019.39
         344             1100.00      220.08              879.92            47139.47
         345             1100.00      216.05              883.95            46255.52
         346             1100.00      212.00              888.00            45367.52
         347             1100.00      207.93              892.07            44475.45
         348             1100.00      203.84              896.16            43579.29
         349             1100.00      199.73              900.27            42679.02
         350             1100.00      195.61              904.39            41774.63
         351             1100.00      191.46              908.54            40866.09
         352             1100.00      187.30              912.70            39953.39
         353             1100.00      183.11              916.89            39036.50
         354             1100.00      178.91              921.09            38115.41
         355             1100.00      174.69              925.31            37190.10
         356             1100.00      170.45              929.55            36260.55
         357             1100.00      166.19              933.81            35326.74
         358             1100.00      161.91              938.09            34388.65
         359             1100.00      157.61              942.39            33446.26
         360             1100.00      153.29              946.71            32499.55
         361             1100.00      148.95              951.05            31548.50
         362             1100.00      144.59              955.41            30593.09
         363             1100.00      140.21              959.79            29633.30
         364             1100.00      135.81              964.19            28669.11
         365             1100.00      131.40              968.60            27700.51
         366             1100.00      126.96              973.04            26727.47
         367             1100.00      122.50              977.50            25749.97
         368             1100.00      118.02              981.98            24767.99
         369             1100.00      113.51              986.49            23781.50
         370             1100.00      108.99              991.01            22790.49
         371             1100.00      104.45              995.55            21794.94
         372             1100.00       99.89             1000.11            20794.83
         373             1100.00       95.30             1004.70            19790.13
         374             1100.00       90.70             1009.30            18780.83
         375             1100.00       86.07             1013.93            17766.90
         376             1100.00       81.43             1018.57            16748.33
         377             1100.00       76.76             1023.24            15725.09
         378             1100.00       72.07             1027.93            14697.16
         379             1100.00       67.36             1032.64            13664.52
         380             1100.00       62.62             1037.38            12627.14
         381             1100.00       57.87             1042.13            11585.01
         382             1100.00       53.09             1046.91            10538.10
         383             1100.00       48.29             1051.71             9486.39
         384             1100.00       43.47             1056.53             8429.86
         385             1100.00       38.63             1061.37             7368.49
         386             1100.00       33.77             1066.23             6302.26
         387             1100.00       28.88             1071.12             5231.14
         388             1100.00       23.97             1076.03             4155.11
         389             1100.00       19.04             1080.96             3074.15
         390             1100.00       14.08             1085.92             1988.23
         391             1100.00        9.11             1090.89              897.34
         392              901.45        4.11              897.34                0.00


Total Payments Made: 392
Total Interest Paid: $231001.45

